Record Number,Dx (10),Dx (30),Dx (50),Dx (60),Dx (90),Span,Uniformity,Specific Surface Area,Concentration,"Result In Range  (0,2) μm","Result In Range  (2,50) μm","Result In Range  (50,2000) μm","Result In Range  (2000,3500) μm",Clay_0_4,Silt_4_63,Sand_63_2000,"Result In Range  (0,6) μm","Result In Range  (6,50) μm","Result In Range  (6,62.5) μm","Result In Range  (0,8) μm","Result In Range  (8,50) μm","Result In Range  (8,62.5) μm",0.01,0.0114,0.0129,0.0147,0.0167,0.0189,0.0215,0.0244,0.0278,0.0315,0.0358,0.0407,0.0463,0.0526,0.0597,0.0679,0.0771,0.0876,0.0995,0.113,0.128,0.146,0.166,0.188,0.214,0.243,0.276,0.314,0.357,0.405,0.46,0.523,0.594,0.675,0.767,0.872,0.991,1.13,1.28,1.45,1.65,1.88,2.13,2.42,2.75,3.12,3.55,4.03,4.58,5.21,5.92,6.72,7.64,8.68,9.86,11.2,12.7,14.5,16.4,18.7,21.2,24.1,27.4,31.1,35.3,40.1,45.6,51.8,58.9,66.9,76,86.4,98.1,111,127,144,163,186,211,240,272,310,352,400,454,516,586,666,756,859,976,1110,1260,1430,1630,1850,2100,2390,2710,3080,3500,BoreholeID,SampleNumber,SampleName,depth,Formation,Analysis,notes
67,184,246,303,335,495,1.027,0.322,10.5,0.0663,0,1.3,98.7,0.000000003,0.09,1.21,98.7,0.18,1.12,1.12,0.25,1.05,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.07,0.08,0.09,0.1,0.11,0.12,0.12,0.11,0.07,0.05,0.04,0.02,0,0,0,0,0,0,0.03,0.3,1.12,2.66,4.85,7.41,9.9,11.83,12.8,12.62,11.33,9.23,6.75,4.35,2.38,0.93,0.18,0.03,0,0,0,0,0,0,0,0,0,0,0,MUS-24-01,4,MUS-24-01-4,25,OW,LD,
143,218,292,357,391,556,0.947,0.298,9.558,0.0658,0,1.98,98.02,0,0.01,2.25,97.74,0.15,1.83,2.11,0.27,1.7,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.09,0.09,0.1,0.12,0.14,0.16,0.18,0.2,0.21,0.19,0.17,0.14,0.09,0.03,0,0,0,0.1,0.56,1.67,3.59,6.17,9.04,11.62,13.32,13.73,12.71,10.53,7.68,4.8,1.97,0.06,0,0,0,0,0,0,0,0,0,0,0,0,MUS-24-01,10,MUS-24-01-10,57,GLC,LD,
421,2.44,30.4,248,306,518,2.077,0.713,298.1,0.0108,8.39,25.05,66.56,5.00E-10,13.98,21.04,64.97,17.24,16.2,17.79,19.64,13.8,15.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.24,0.36,0.47,0.55,0.61,0.65,0.68,0.72,0.77,0.83,0.9,0.96,1,1.03,1.04,1.04,1.03,1.02,1.01,1.02,1.04,1.05,1.07,1.08,1.08,1.07,1.05,1.03,1.01,0.98,0.95,0.91,0.89,0.87,0.86,0.87,0.89,0.91,0.92,0.89,0.81,0.69,0.54,0.42,0.39,0.55,0.98,1.73,2.8,4.1,5.47,6.69,7.53,7.81,7.42,6.41,4.94,3.29,1.64,0.29,0,0,0,0,0,0,0,0,0,0,0,0,MUS-24-01,14,MUS-24-01-14,77,GLC,LD,
440,2.31,16.8,71.3,125,349,4.861,1.568,342.8,0.0048,8.82,35.86,55.32,4.00E-11,14.92,33.05,52.02,18.89,25.79,29.09,21.84,22.85,26.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.19,0.32,0.45,0.56,0.63,0.67,0.68,0.69,0.71,0.74,0.8,0.86,0.93,1,1.06,1.11,1.14,1.17,1.2,1.22,1.25,1.27,1.29,1.31,1.33,1.35,1.37,1.4,1.44,1.49,1.54,1.6,1.66,1.71,1.75,1.78,1.8,1.82,1.84,1.88,1.92,1.99,2.09,2.22,2.4,2.62,2.89,3.2,3.53,3.85,4.1,4.23,4.19,3.92,3.43,2.75,1.95,1.12,0.43,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,MUS-24-01,15,MUS-24-01-15,82,ST,LD,
526,1.23,5.73,18.5,33.1,247,13.322,3.676,579.8,0.0072,15.53,50.31,34.16,6.00E-12,24.76,43.82,31.42,30.71,35.13,37.86,35.32,30.52,33.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.39,0.63,0.86,1.04,1.15,1.2,1.21,1.21,1.23,1.28,1.36,1.45,1.53,1.6,1.65,1.68,1.71,1.73,1.77,1.81,1.87,1.93,2,2.06,2.12,2.17,2.21,2.25,2.28,2.3,2.3,2.29,2.25,2.19,2.1,2,1.88,1.76,1.66,1.57,1.5,1.47,1.47,1.52,1.62,1.77,1.97,2.21,2.45,2.67,2.8,2.78,2.58,2.19,1.64,1.03,0.43,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MUS-24-01,16,MUS-24-01-16,87,ST,LD,
606,5.56,41.4,142,201,452,3.145,1.066,197.5,0.011,4.77,27.79,67.23,0.21,8.11,27.53,64.15,10.47,22.09,25.17,12.43,20.13,23.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.17,0.24,0.3,0.34,0.36,0.37,0.37,0.39,0.41,0.44,0.48,0.52,0.55,0.58,0.6,0.62,0.64,0.67,0.7,0.74,0.79,0.83,0.88,0.93,0.98,1.04,1.1,1.18,1.26,1.35,1.44,1.53,1.6,1.66,1.69,1.72,1.73,1.74,1.76,1.79,1.86,1.96,2.1,2.31,2.57,2.91,3.3,3.74,4.19,4.61,4.92,5.08,5.03,4.74,4.21,3.48,2.64,1.79,1,0.39,0.12,0.04,0.02,0.02,0.04,0.06,0.07,0.07,0.06,0.04,0.02,0,MUS-24-01,17,MUS-24-01-17,92,ST,LD,
668,2.72,13.9,36.1,61,279,7.647,2.238,323.8,0.0077,7.71,48.71,43.58,8.00E-11,13.34,47.07,39.59,17.63,38.79,42.78,21.28,35.14,39.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.27,0.39,0.49,0.56,0.6,0.61,0.62,0.63,0.66,0.7,0.76,0.82,0.88,0.94,0.99,1.05,1.11,1.18,1.26,1.35,1.44,1.54,1.64,1.75,1.88,2.01,2.16,2.31,2.46,2.59,2.7,2.78,2.8,2.78,2.72,2.62,2.5,2.39,2.29,2.22,2.18,2.18,2.21,2.28,2.37,2.49,2.62,2.76,2.89,2.97,2.96,2.82,2.53,2.1,1.56,0.98,0.4,0.08,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,MUS-24-01,18,MUS-24-01-18,100,ST,LD,
802,6.45,29.7,62.8,81.1,165,2.532,0.796,185.9,0.0116,3.82,38.8,57.38,4.00E-14,6.76,43.08,50.16,9.43,33.19,40.41,11.86,30.77,37.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.12,0.19,0.24,0.29,0.31,0.32,0.32,0.33,0.34,0.35,0.37,0.4,0.43,0.46,0.49,0.54,0.6,0.67,0.75,0.84,0.93,1.01,1.1,1.18,1.26,1.36,1.46,1.58,1.71,1.86,2.02,2.18,2.36,2.55,2.76,3,3.3,3.65,4.07,4.53,4.99,5.4,5.69,5.79,5.65,5.25,4.62,3.79,2.88,1.97,1.17,0.51,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MUS-24-01,20,MUS-24-01-20,110,ST,LD,
859,2.6,13.8,38,65.5,295,7.7,2.294,335.3,0.0074,8.06,47.15,44.79,1.00E-10,13.68,45.5,40.81,17.94,37.26,41.24,21.6,33.61,37.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.17,0.29,0.42,0.52,0.59,0.62,0.63,0.63,0.64,0.68,0.72,0.78,0.84,0.9,0.95,1,1.05,1.1,1.16,1.24,1.33,1.44,1.54,1.65,1.75,1.86,1.97,2.09,2.2,2.32,2.43,2.53,2.6,2.63,2.63,2.59,2.52,2.43,2.35,2.28,2.23,2.21,2.21,2.25,2.3,2.38,2.48,2.59,2.72,2.84,2.92,2.94,2.84,2.6,2.23,1.73,1.18,0.63,0.27,0.12,0.07,0.05,0.04,0.02,0,0,0,0,0,0,0,0,0,MUS-24-01,21,MUS-24-01-21,112,ST,LD,
